GND	WIKI PAGE DE	HITS (btw 2014/05/28 and 2014/06/26)	AVG HITS (per day)	CHAR_COUNT (on 2014/06/28)	WORD_COUNT (on 2014/06/28)
http://d-nb.info/gnd/113268246	http://de.wikipedia.org/wiki/Franz_S%C3%A4ttler	64	2.13	2969	339
http://d-nb.info/gnd/117597538	http://de.wikipedia.org/wiki/Luise_Zietz	185	6.17	4340	509
http://d-nb.info/gnd/118672290	http://de.wikipedia.org/wiki/Roland_Dorgel%C3%A8s	124	4.13	3056	351
http://d-nb.info/gnd/116921420		0	0	0	0
http://d-nb.info/gnd/118758934	http://de.wikipedia.org/wiki/Bruno_Sch%C3%B6nlank_%28Schriftsteller%29	33	1.1	3917	396
http://d-nb.info/gnd/126889597		0	0	0	0
http://d-nb.info/gnd/126248249		0	0	0	0
http://d-nb.info/gnd/109878116		0	0	0	0
http://d-nb.info/gnd/101409117		0	0	0	0
http://d-nb.info/gnd/118531670	http://de.wikipedia.org/wiki/Walter_Fabian	132	4.4	10149	1178
http://d-nb.info/gnd/133251381	http://de.wikipedia.org/wiki/Robert_Seitz	90	3	4704	558
http://d-nb.info/gnd/118594982	http://de.wikipedia.org/wiki/Georgi_Walentinowitsch_Plechanow	309	10.3	15953	1865
http://d-nb.info/gnd/117416843	http://de.wikipedia.org/wiki/Pedro_Sinzig	78	2.6	9002	1063
http://d-nb.info/gnd/116374756	http://de.wikipedia.org/wiki/Sophie_Gallwitz	52	1.73	3577	415
http://d-nb.info/gnd/126632952		0	0	0	0
http://d-nb.info/gnd/128001402		0	0	0	0
http://d-nb.info/gnd/137040229		0	0	0	0
http://d-nb.info/gnd/11610196		0	0	0	0
http://d-nb.info/gnd/115219129		0	0	0	0
http://d-nb.info/gnd/101877927		0	0	0	0
http://d-nb.info/gnd/128936487		0	0	0	0
http://d-nb.info/gnd/107675617	http://de.wikipedia.org/wiki/Irnfried_von_Wechmar	133	4.43	5109	606
http://d-nb.info/gnd/1024666409		0	0	0	0
http://d-nb.info/gnd/123026431		0	0	0	0
http://d-nb.info/gnd/126737770		0	0	0	0
http://d-nb.info/gnd/12693424X		0	0	0	0
http://d-nb.info/gnd/126844585		0	0	0	0
http://d-nb.info/gnd/118511866	http://de.wikipedia.org/wiki/L%C3%A9on_Bloy	286	9.53	17990	2214
http://d-nb.info/gnd/118937510		0	0	0	0
http://d-nb.info/gnd/108437698	http://de.wikipedia.org/wiki/Hans_Teubner	77	2.57	9549	1110
http://d-nb.info/gnd/118556827	http://de.wikipedia.org/wiki/Wenzel_Jaksch	233	7.77	15120	1774
http://d-nb.info/gnd/118609807	http://de.wikipedia.org/wiki/Arthur_Schnitzler	8663	288.77	32012	3685
http://d-nb.info/gnd/118598430	http://de.wikipedia.org/wiki/Walther_Rathenau	5137	171.23	49159	5941
http://d-nb.info/gnd/125880693		0	0	0	0
http://d-nb.info/gnd/118747754	http://de.wikipedia.org/wiki/Walther_G._Oschilewski	104	3.47	4282	477
http://d-nb.info/gnd/118585061	http://de.wikipedia.org/wiki/Johannes_M%C3%BCller_%28Elmau%29	277	9.23	6637	777
http://d-nb.info/gnd/118587293	http://de.wikipedia.org/wiki/Franz_Neumann_%28Politikwissenschaftler%29	387	12.9	10167	1160
http://d-nb.info/gnd/101877935		0	0	0	0
http://d-nb.info/gnd/126348790		0	0	0	0
http://d-nb.info/gnd/126584966		0	0	0	0
http://d-nb.info/gnd/127849084		0	0	0	0
http://d-nb.info/gnd/126559716		0	0	0	0
http://d-nb.info/gnd/118567365	http://de.wikipedia.org/wiki/Alfred_Kubin	1685	56.17	19460	2277
http://d-nb.info/gnd/117234141		0	0	0	0
http://d-nb.info/gnd/140280685		0	0	0	0
http://d-nb.info/gnd/10180394X		0	0	0	0
http://d-nb.info/gnd/119505622	http://de.wikipedia.org/wiki/Justin_Steinfeld	40	1.33	2838	322
http://d-nb.info/gnd/126476209		0	0	0	0
http://d-nb.info/gnd/118717286	http://de.wikipedia.org/wiki/Edward_Gibbon	798	26.6	18520	2509
http://d-nb.info/gnd/12689650X		0	0	0	0
http://d-nb.info/gnd/121575640	http://de.wikipedia.org/wiki/Anton_Zischka	221	7.37	17888	2168
http://d-nb.info/gnd/116918896		0	0	0	0
http://d-nb.info/gnd/126408548		0	0	0	0
http://d-nb.info/gnd/126491348		0	0	0	0
http://d-nb.info/gnd/124791948	http://de.wikipedia.org/wiki/Anton_Tesarek	90	3	2037	205
http://d-nb.info/gnd/118729039	http://de.wikipedia.org/wiki/Jakub_Lorenc-Zal%C4%9Bski	82	2.73	5083	599
http://d-nb.info/gnd/11853792X	http://de.wikipedia.org/wiki/Andreas_Gayk	211	7.03	12288	1467
http://d-nb.info/gnd/136742823	http://de.wikipedia.org/wiki/Anna_Lindemann	53	1.77	3089	335
http://d-nb.info/gnd/101463545		0	0	0	0
http://d-nb.info/gnd/16298793-6		0	0	0	0
http://d-nb.info/gnd/118897454	http://de.wikipedia.org/wiki/Helmuth_Theodor_Bossert	94	3.13	7285	841
http://d-nb.info/gnd/126161399		0	0	0	0
http://d-nb.info/gnd/127945520		0	0	0	0
http://d-nb.info/gnd/1036604829		0	0	0	0
http://d-nb.info/gnd/131145479		0	0	0	0
http://d-nb.info/gnd/101583125		0	0	0	0
http://d-nb.info/gnd/118725114	http://de.wikipedia.org/wiki/Wilhelm_K%C3%BClz	585	19.5	13466	1553
http://d-nb.info/gnd/1024309029	http://de.wikipedia.org/wiki/Emma_D%C3%B6ltz	36	1.2	4443	566
http://d-nb.info/gnd/11885545X	http://de.wikipedia.org/wiki/Fritz_Heckert	740	24.67	6367	767
Vorwärts Buchdruckerei, Berlin		0	0	0	0
http://d-nb.info/gnd/118691392	http://de.wikipedia.org/wiki/Ruth_Fischer	774	25.8	16397	2002
http://d-nb.info/gnd/11851184X	http://de.wikipedia.org/wiki/Wilhelm_Blos	208	6.93	10757	1230
http://d-nb.info/gnd/118509624	http://de.wikipedia.org/wiki/Alexander_Berkman	354	11.8	8791	1103
http://d-nb.info/gnd/11916728X	http://de.wikipedia.org/wiki/Theodor_Veiter	62	2.07	7773	934
http://d-nb.info/gnd/119392801		0	0	0	0
http://d-nb.info/gnd/126599173		0	0	0	0
http://d-nb.info/gnd/12429166X	http://de.wikipedia.org/wiki/Jakob_Elias_Poritzky	59	1.97	5962	708
