Nawiasky, Hans	http://d-nb.info/gnd/118785796, http://d-nb.info/gnd/176823727
Prokosch, Eduard	http://d-nb.info/gnd/102226628, http://d-nb.info/gnd/116304782
Asch, Käte	
Herrlich, Lotte	http://d-nb.info/gnd/104834021, http://d-nb.info/gnd/131888560
Rohmer, Sax	http://d-nb.info/gnd/107668904, http://d-nb.info/gnd/183417828
Ruedolf, Richard	http://d-nb.info/gnd/127112324
Dorgelès, Roland	
Huter, C. Heinrich	http://d-nb.info/gnd/126549079
Braeuer, Walter	http://d-nb.info/gnd/101635125, http://d-nb.info/gnd/143580191
Zollschan, Ignaz	http://d-nb.info/gnd/117012998, http://d-nb.info/gnd/178115150
Kaminsky, Hans-Erich	
Welker, Karl	http://d-nb.info/gnd/108573508
Grosz, George	http://d-nb.info/gnd/118542672, http://d-nb.info/gnd/14279029X
Lohner, Erich	http://d-nb.info/gnd/126505357
Hertenstein, Kurt	http://d-nb.info/gnd/126400814
Zweig, Stephan	http://d-nb.info/gnd/118637479
Holzapfel, Attalus	http://d-nb.info/gnd/126685290, http://d-nb.info/gnd/160725690
Kurth, Hans	http://d-nb.info/gnd/101527330, http://d-nb.info/gnd/128508698, http://d-nb.info/gnd/130080462, http://d-nb.info/gnd/133865045, http://d-nb.info/gnd/176260765
Pankok, Otto	http://d-nb.info/gnd/118591533, http://d-nb.info/gnd/160075866
Mikojan, A. J.	
Malenki, A.	http://d-nb.info/gnd/126571708
Pieck, Wilhelm	http://d-nb.info/gnd/118594273, http://d-nb.info/gnd/18584247X
Forel, August	http://d-nb.info/gnd/118534327, http://d-nb.info/gnd/13092749X, http://d-nb.info/gnd/175584400
Mirowitsch, W.	http://d-nb.info/gnd/178881481
Wald, E.	http://d-nb.info/gnd/131134825
Tyszka, Karl	
Schlenker, Ernst	http://d-nb.info/gnd/125442785
Meyenberg, E. C. Albrecht	http://d-nb.info/gnd/12774729X
Zenker, Ernst Viktor	http://d-nb.info/gnd/116979798, http://d-nb.info/gnd/183321871
