row	authorFirstname	authorLastname	 X	GND	preferredName	yearOfBirth	yearOfDeath	placeOfBirth	placeOfDeath	professionOrOccupation	foaf_page	
250	Bruno	Adler	 	http://d-nb.info/gnd/189429224	Adler, Bruno	 	 	 	 	 	 	DifferentiatedPerson
250	Bruno	Adler	 	http://d-nb.info/gnd/105154113	Roedl, Urban	1888	1968	Karlovy Vary	London	Schriftsteller | Kunsthistoriker	http://de.wikipedia.org/wiki/Bruno_Adler_%28Literaturwissenschaftler%29	DifferentiatedPerson
250	Bruno	Adler	 	http://d-nb.info/gnd/116009578	Adler, Bruno	 	 	 	 	Ethnologe | Kartograph	 	DifferentiatedPerson
250	Bruno	Adler	 	http://d-nb.info/gnd/123440866	Adler, Bruno	1896	 	 	 	Pfarrer	http://de.wikipedia.org/wiki/Bruno_Adler_%28Bischof%29	DifferentiatedPerson
250	Bruno	Adler	 	http://d-nb.info/gnd/125849087	Adler, Bruno Federovič	 	 	 	 	 	 	DifferentiatedPerson
258	Max Karl Prinz zu	Hohenlohe-Langenburg	 									
264	Oskar Ernst	Bernhardt	 	http://d-nb.info/gnd/118816187	Abd-ru-shin	1875	1941	 	 	 	http://de.wikipedia.org/wiki/Oskar_Ernst_Bernhardt	DifferentiatedPerson
265	Hertwig	Machts	 									
266	Irma	Kessel	 									
267	Konrad	Merz	 	http://d-nb.info/gnd/118811630	Merz, Konrad	1908	1999	Berlin	Purmerend	 	http://de.wikipedia.org/wiki/Konrad_Merz	Pseudonym
267	Konrad	Merz	 	http://d-nb.info/gnd/129478105	Merz, Johann Konrad	 	 	 	 	 	 	DifferentiatedPerson
267	Konrad	Merz	 	http://d-nb.info/gnd/131915495	Merz, Konrad	 	 	 	 	 	 	DifferentiatedPerson
267	Konrad	Merz	 	http://d-nb.info/gnd/133773531	Merz, Konrad	1889	 	 	 	 	 	DifferentiatedPerson
299	Leopold	Schwarzschild	 	http://d-nb.info/gnd/118612093	Schwarzschild, Leopold	1891	1950	Frankfurt am Main	 	Schriftsteller | Journalist	http://de.wikipedia.org/wiki/Leopold_Schwarzschild	Pseudonym
302	Lenka von	Koerber	 									
306	Werner	Hegemann	 	http://d-nb.info/gnd/116571284	Hegemann, Werner	1881	1936	 	 	Architekt | Stadtplaner | Publizist	http://de.wikipedia.org/wiki/Werner_Hegemann	DifferentiatedPerson
306	Werner	Hegemann	 	http://d-nb.info/gnd/116571241	Hegemann, Hans Werner	1911	1985	 	 	Kunsthistoriker	 	DifferentiatedPerson
311	Karl	Liebknecht	 	http://d-nb.info/gnd/11857275X	Liebknecht, Karl	1871	1919	Leipzig	Berlin	Politiker	http://de.wikipedia.org/wiki/Karl_Liebknecht	DifferentiatedPerson
311	Karl	Liebknecht	 	http://d-nb.info/gnd/103711857X	Liebknecht, Karl Friedrich	1758/1760	1818	 	 	Pfarrer	 	DifferentiatedPerson
312	August	Bebel	 	http://d-nb.info/gnd/118507893	Bebel, August	1840	1913	Deutz	Passugg-Araschgen	Politiker | Drechsler	http://de.wikipedia.org/wiki/August_Bebel	DifferentiatedPerson
325	Lothar	Frey	 	http://d-nb.info/gnd/124749216	Pahl, Walther	1903	1969	 	 	Gewerkschaftsmitglied	http://de.wikipedia.org/wiki/Walter_Pahl_%28Gewerkschafter%29	DifferentiatedPerson
327	Arnold	Zweig	 	http://d-nb.info/gnd/118637452	Zweig, Arnold	1887	1968	Glogau	Berlin	Schriftsteller | Germanist | Philosoph | Psychologe | Dramatiker	http://de.wikipedia.org/wiki/Arnold_Zweig	DifferentiatedPerson
340	Karl	Otten	 	http://d-nb.info/gnd/129734616	Otten, Karl	 	 	 	 	Pädagoge	 	DifferentiatedPerson
340	Karl	Otten	 	http://d-nb.info/gnd/118590723	Otten, Karl	1889	1963	Oberkrüchten	Muralto	Schriftsteller | Journalist	http://de.wikipedia.org/wiki/Karl_Otten	Pseudonym
343	Manfred	Georg	 	http://d-nb.info/gnd/121978281	Georg, Manfred	1893	1965	Berlin	New York, NY	Schriftsteller	http://de.wikipedia.org/wiki/Manfred_George	DifferentiatedPerson
346	Ludwig	Marcuse	 	http://d-nb.info/gnd/118577646	Marcuse, Ludwig	1894	1971	Berlin	München	Philosoph | Literaturkritiker | Journalist | Übersetzer	http://de.wikipedia.org/wiki/Ludwig_Marcuse	DifferentiatedPerson
346	Ludwig	Marcuse	 	http://d-nb.info/gnd/131828525	Marcuse, Ludwig	1843	 	Berlin	 	Arzt	 	DifferentiatedPerson
353	Martin	Haller	 	http://d-nb.info/gnd/119509180	Haller, Martin	1835	1925	Hamburg	Hamburg	Architekt | Politiker	http://de.wikipedia.org/wiki/Martin_Haller	DifferentiatedPerson
353	Martin	Haller	 	http://d-nb.info/gnd/1019729082	Haller, Martin	1492	1547	Nürnberg	Nürnberg	 	 	DifferentiatedPerson
353	Martin	Haller	 	http://d-nb.info/gnd/1019739533	Haller, Martin	 	 	 	 	Kirchenpfleger	 	DifferentiatedPerson
353	Martin	Haller	 	http://d-nb.info/gnd/116411953	Haller, Martin	 	 	 	 	 	 	DifferentiatedPerson
353	Martin	Haller	 	http://d-nb.info/gnd/137213204	Haller von Hallerstein, Martin	1551	1617	 	 	Schultheiß | Schriftsteller	 	DifferentiatedPerson
353	Martin	Haller	 	http://d-nb.info/gnd/10049482X	Haller, Martin Joseph	1770	1853	 	 	Kaufmann | Schriftsteller	 	DifferentiatedPerson
374	Peter	Maslowski	 	http://d-nb.info/gnd/116835192	Maslowski, Peter	1893	1983	 	 	Journalist | Politiker	http://de.wikipedia.org/wiki/Peter_Maslowski	DifferentiatedPerson
376	Alice	Behrend	 									
377	Felix	Halle	 	http://d-nb.info/gnd/12096855X	Halle, Felix	1884	1937	Berlin	 	Jurist	http://de.wikipedia.org/wiki/Felix_Halle	DifferentiatedPerson
388	Alfred	Schirokauer	 	http://d-nb.info/gnd/117276464	Schirokauer, Alfred	1880	1934	 	 	Schriftsteller	http://de.wikipedia.org/wiki/Alfred_Schirokauer	DifferentiatedPerson
400	Otto	Bauer	 	http://d-nb.info/gnd/118507346	Bauer, Otto	1881	1938	Wien	Paris	Politiker	http://de.wikipedia.org/wiki/Otto_Bauer	Pseudonym
408	Armin Theophil	Wegner	 	http://d-nb.info/gnd/11862993X	Wegner, Armin T.	1886	1978	Elberfeld	Rom	Lyriker | Schriftsteller | Jurist	http://de.wikipedia.org/wiki/Armin_T._Wegner	DifferentiatedPerson
412	Max	Werner	 	http://d-nb.info/gnd/117303399	Werner, Max	1869	 	 	 	Dirigent | Komponist | Musiker	 	DifferentiatedPerson
412	Max	Werner	 	http://d-nb.info/gnd/134104803	Werner, Max	1901	1950	 	 	Publizist	 	DifferentiatedPerson
412	Max	Werner	 	http://d-nb.info/gnd/116414111	Werner-Ehrenfeucht, Max	1842	1937	 	 	General	 	DifferentiatedPerson
412	Max	Werner	 	http://d-nb.info/gnd/121586545	Werner, Max	1885	 	 	 	Jurist | Komponist | Dirigent	 	DifferentiatedPerson
412	Max	Werner	 	http://d-nb.info/gnd/144050765	Werner, Max	1911	 	Halle (Saale)	 	 	 	DifferentiatedPerson
412	Max	Werner	 	http://d-nb.info/gnd/14366901X	Werner, Ludwig	1905	 	 	 	 	 	DifferentiatedPerson
412	Max	Werner	 	http://d-nb.info/gnd/140580972	Werner, Max	 	 	 	 	Musiker | Violoncellist	 	DifferentiatedPerson
412	Max	Werner	 	http://d-nb.info/gnd/135402840	Werner-Kersten, Max	 	1948	 	 	Komponist	http://de.wikipedia.org/wiki/Max_Werner-Kersten	DifferentiatedPerson
427	Magdeleine	Marx	 									
428	Heinrich	Werneke	 	http://d-nb.info/gnd/172462916	Werneke, Heinrich	 	 	 	 	 	 	DifferentiatedPerson
428	Heinrich	Werneke	 	http://d-nb.info/gnd/129714267	Werneke, Heinrich	1570	1625	 	 	 	 	DifferentiatedPerson
428	Heinrich	Werneke	 	http://d-nb.info/gnd/128820543	Werneke, Heinrich	 	 	 	 	 	 	DifferentiatedPerson
428	Heinrich	Werneke	 	http://d-nb.info/gnd/1027713858	Werneke, Heinrich	1864	 	Warburg	 	Pädagoge | Oberlehrer	 	DifferentiatedPerson
433	Otto	Schneid	 	http://d-nb.info/gnd/1024825035	Schneid, Otto	1900	 	 	 	Künstler	 	DifferentiatedPerson
437	Heinrich	Laemmlin	 									
450	Gerth	Schreiner	 	http://d-nb.info/gnd/18949705X	Schreiner, Gerth	 	 	 	 	 	 	DifferentiatedPerson
450	Gerth	Schreiner	 	http://d-nb.info/gnd/101920334	Schreiner, Gerth	1892	1940	 	 	Journalist | Schauspieler	 	DifferentiatedPerson
451	Karl	Roche	 	http://d-nb.info/gnd/11679982X	Du Jarrys de la Roche, Carl	1811	1881	 	 	Offizier	 	DifferentiatedPerson
451	Karl	Roche	 	http://d-nb.info/gnd/101749388X	La Roche, Karl Gustav	1813	1873	 	 	Bankier	 	DifferentiatedPerson
451	Karl	Roche	 	http://d-nb.info/gnd/128538929	LaRoche, Karl Ferdinand de	 	1908	 	 	Kunstsammler	 	DifferentiatedPerson
451	Karl	Roche	 	http://d-nb.info/gnd/116738162	La Roche, Karl von	1794	1884	Berlin	Wien	Schauspieler | Regisseur | Adel | Sänger	http://de.wikipedia.org/wiki/Carl_von_La_Roche	DifferentiatedPerson
451	Karl	Roche	 	http://d-nb.info/gnd/116737956	La Roche, Johann Karl August	 	 	 	 	 	 	DifferentiatedPerson
451	Karl	Roche	 	http://d-nb.info/gnd/1033673269	Roche, Karl	 	 	 	 	 	 	DifferentiatedPerson
454	Thomas	Mann	 	http://d-nb.info/gnd/118577166	Mann, Thomas	1875	1955	Lübeck	Zürich	Schriftsteller	http://de.wikipedia.org/wiki/Thomas_Mann	DifferentiatedPerson
458	Herwarth	Walden	 	http://d-nb.info/gnd/118770950	Walden, Herwarth	1878	1941	Berlin	Saratow	Schriftsteller | Kritiker | Publizist | Komponist	http://de.wikipedia.org/wiki/Herwarth_Walden	DifferentiatedPerson
474	Edmund	Blum	 									
478	René	Schickele	 	http://d-nb.info/gnd/11860743X	Schickele, René	1883	1940	Oberehnheim	 	Schriftsteller | Redakteur | Publizist	http://de.wikipedia.org/wiki/Ren%C3%A9_Schickele	Pseudonym
479	Arthur	Schmid	 	http://d-nb.info/gnd/126905533	Santschi-Schmid, Arthur	 	 	 	 	 	 	DifferentiatedPerson
486	Peter	Grund	 	http://d-nb.info/gnd/118698540	Grund, Peter	1892	1966	 	 	Architekt	http://de.wikipedia.org/wiki/Peter_Grund	DifferentiatedPerson
486	Peter	Grund	 	http://d-nb.info/gnd/116689749	Mainzer, Otto	1903	1995	Frankfurt am Main	 	Rechtsanwalt | Schriftsteller	http://de.wikipedia.org/wiki/Otto_Mainzer	Pseudonym
492	Sergej	Achrem	 									
501	Ludwig	Tureck	 	http://d-nb.info/gnd/118624628	Turek, Ludwig	1898	1975	Stendal	Berlin	Jugendbuchautor | Schriftsteller	http://de.wikipedia.org/wiki/Ludwig_Turek	DifferentiatedPerson
501	Ludwig	Tureck	 	http://d-nb.info/gnd/127382917	Tureck, Ludwig	 	 	 	 	 	 	DifferentiatedPerson
504	Anton	Kuh	 	http://d-nb.info/gnd/119302616	Kuh, Anton	1890	1941	Wien	New York, NY	Schriftsteller | Satiriker | Publizist	http://de.wikipedia.org/wiki/Anton_Kuh	DifferentiatedPerson
506	Kurt	Kaiser-Blüth	 	http://d-nb.info/gnd/116028742	Kaiser-Blüth, Kurt	 	 	 	 	Journalist	 	DifferentiatedPerson
512	Paul	Kowalski	 	http://d-nb.info/gnd/11772257X	Kowalski, Paul	 	 	 	 	Stenograph	 	DifferentiatedPerson
512	Paul	Kowalski	 	http://d-nb.info/gnd/125261624	Kowalski, Wietold	1907	 	Graudenz	 	 	 	DifferentiatedPerson
529	Wilhelm	Pieck	 	http://d-nb.info/gnd/118594273	Pieck, Wilhelm	1876	1960	 	 	Politiker | Tischler	http://de.wikipedia.org/wiki/Wilhelm_Pieck	DifferentiatedPerson
530	Paul	Hertz	 	http://d-nb.info/gnd/170636607	Hertz, Paul T.	 	 	 	 	 	 	DifferentiatedPerson
530	Paul	Hertz	 	http://d-nb.info/gnd/116754451	Hertz, Paul	1837	1897	 	 	Unternehmer | Schriftsteller	 	DifferentiatedPerson
530	Paul	Hertz	 	http://d-nb.info/gnd/116754494	Hertz, Paul	1888	1961	 	 	Politiker	http://de.wikipedia.org/wiki/Paul_Hertz	DifferentiatedPerson
530	Paul	Hertz	 	http://d-nb.info/gnd/11675446X	Hertz, Paul	1881	1940	 	 	Physiker | Philosoph	http://de.wikipedia.org/wiki/Paul_Hertz_%28Physiker%29	DifferentiatedPerson
532	Rudolf	Grob	 	http://d-nb.info/gnd/173334431	Grob, Rudolf	1904	 	 	 	 	 	DifferentiatedPerson
532	Rudolf	Grob	 	http://d-nb.info/gnd/1042538778	Grob, Rudolf Ernst	1872	1960	 	 	Pfarrer	 	DifferentiatedPerson
539		Korsch, Karl	 									
543	Ernst	Fischer	 	http://d-nb.info/gnd/118667610	Cefischer	1900	1974	 	 	Maler | Graphiker | Karikaturist | Illustrator	http://de.wikipedia.org/wiki/Cefischer	DifferentiatedPerson
543	Ernst	Fischer	 	http://d-nb.info/gnd/117508810	Fischer, Ernst	 	 	 	 	Schriftsteller	 	DifferentiatedPerson
543	Ernst	Fischer	 	http://d-nb.info/gnd/11666777X	Fischer, Friedrich Ernst Ludwig	1782	1854	Halberstadt	Sankt Petersburg	Botaniker	http://de.wikipedia.org/wiki/Friedrich_Ernst_Ludwig_von_Fischer	DifferentiatedPerson
543	Ernst	Fischer	 	http://d-nb.info/gnd/118691163	Fischer, Ernst	1899	1972	Komotau	Deutschfeistritz	Politiker | Schriftsteller	http://de.wikipedia.org/wiki/Ernst_Fischer_%28Schriftsteller%29	Pseudonym
543	Ernst	Fischer	 	http://d-nb.info/gnd/119516020	Fischer, Ernst	1900	1975	 	 	Komponist	http://de.wikipedia.org/wiki/Ernst_Fischer_%28Komponist%29	DifferentiatedPerson
