forename	surname	authorFirstname	authorLastname
Heinrich	Werneke		
Arthur	Werner		
Bruno Erich	Werner		
Georg	Werner		
Max	Werner		
Paul	Werner		
Selma	Werner		
Hans	Wernicke		
Johannes	Werthauer		
Marga	Wertheimer		
Mildred Salz	Wertheimer		
Heinz	Wertner		
Ludwig E.	West		
Curt von	Westernhagen		
Paul	Westheim		
Patrick	Weston		
Max	Westphal		
Erwin	Wexberg		
A. von der	Wey		
Klara	Weyl		
Paul	Weyland		
John W.	Wheeler-Bennett		
Walt	Whitman		
Heinrich	Schwarz		Wibich, W[ilhelm, d. i. Heinrich Schwarz]
Heinrich	Schwarz		Wibich, Wilhelm [Pseud.] s. Schwarz, Heinrich.
Richard	Wichterich		
Karl Friedrich	Wiebe-Petersen		
Georg	Wieber		
F.	Wiede		
Alfred	Wiehr		
Heinz	Wieleck		
Heinz	Wielek		
Oskar	Wiener		
Georg	Wieser		
Robert	Wilbrandt		
Karl	Wilczynski		
H.	Wild		
Max	Wild		
J. A.	Wilder		
Fritz	Wildung		
Fritz	Wildung		Wildung, Fritz
Charlotte	Wilhelmi		
Joh. Hermann	Wilke		
Karl	Wilke		
Werner	Wilke		
Jörg	Willenbacher		
Albert Rhys	Williams		
Valentin	Williams		
Carl	Willing		
Edwina H.	Wilson		
Ludwig	Winder		
Georg	Winger		
Jozef	Winiewicz		
Bruno	Winkler		
Johan	Winkler		
Gerald B.	Winrod		
Christa	Winsloe		
Gustav	Winter		
Maria	Winter		
Max	Winter		
Siegfried Martin	Winter		
Wenzel	Winterstein		
Hans	Wirtz		
Richard	Wirtz		
Vsevolod	Višnevskij	Wsewolod	Wischnewski
Vsevolod	Višnevskij	Wsewolod [Vsevolod]	Wischnewski [Višnevskij]
Vsevolod	Višnevskij		Wischnewski, Wsewolod s. Višnevskij, Vsevolod
Franz	Wisnewski		
Alfred	Witte		
Erich	Witte		
Hermann	Witte		
Johannes	Witte		
Fritz	Wittels		
Otto	Witte-Pankow		
Karl August	Wittfogel		
Joseph	Wittlin		
Otto	Wittner		
Theodor	Woelfer		
W.	Wogau		
Alexius	Wohlgemuth		
Zygmunt	Wojciechowski		
Gertrud	Woker		
Richard	Woldt		
Alfred	Wolf		
Arthur	Wolf		
Erich Hans	Wolf		
Friedrich	Wolf		
Hermann	Wolf		
Julius	Wolf		
Lothar	Wolf		
Victoria	Wolf		
Victoria (Trude)	Wolf		
Henry Cutler	Wolfe		
Alfred	Wolfenstein		
Adolf	Wolff		
Theodor	Wolff		
Wilhelm	Wolff		
Lothar	Wolffen		
Nelli	Wolffheim		
Willi	Wolfradt		
Oskar	Wolfsberg		
Klemens	Tilman		Wolker, Ludwig s. Tilman, Klemens
Erich	Wollenberg		
Peter	Wollni		
Alfred	Wollschlaeger		
V.	Volženin	W. [V.]	Wolshenin [Volženin]
V.	Volženin		Wolshenin, W. [dt. Namensform] s. Volženin, V.
Albert	Wolters		
Dorothy	Woodman		
Anton	Worlitscheck		
K. E.	Woroschilow		
Nikolaj A.	Voznesenskij	N. A.	Wosnessenski (Voznesenskij)
Nikolaj A.	Voznesenskij		Wosnessenski, N. A. [dt. Namensform] s. Voznesenskij
Wladimir	Woytinski		
M.	Wreschner		
Henry	Wright		
Richard	Wright		
Ludwig	Wronkow		
Jan	Wszebor		
A.	Vtorov	A.	Wtorow [Vtorov]
A.	Vtorov		Wtorow, A. [dt. Namensform] s. Vtorov, A.
Karl	Wuerzburger		
Erich	Wulffen		
Erich	Wulffen		Wulffen, Erich, u. Felix Abraham
Felix	Abraham		Wulffen, Erich, u. Felix Abraham
Reinhold	Wulle		
Max	Wullschleger	Max	Wullschleger [Red.]
Mathilde	Wurm		
Willi	Wygodzinski		
Hans von	Wyl		
Andrej Januarievič	Vyšinskij		Wyschiniski, A. s. Vyšinskij, Andrej Januarievič.
Andrej Januarievič	Vyšinskij	A. [Andrei Januarievič]	Wyschinski [Vyišnskij]
T. de	Wyzewa		
Thomas Russell	Ybarra		
Stanislav	Yester		
Th.	Yorck		
Heinrich	York-Steiner		
Georges	Yvetot		
Franz	Zach		
Otto	Zacke		
Ignaz	Zadek		
Thaddäus	Zaderecki		
Alexander	Zak		
St.	Zalewski		
Máté	Zalka		
Johannes	Zandt		
Gabryela	Zapolska		
Arthur	Zapp		
Paolo	Zappa		
Otto	Zarek		
Richard	Zaugg		
Paul	Zech		
August	Zechmeister		
Hans Felix	Zeck		
Hugo	Zehder		
Alfred	Zeidler		
August Hermann	Zeiz		
Max	Zelck		
Alfred	Zellweger		
Ernst Viktor	Zenker		
Wally	Zepler		
Julius	Zerfass		
Julius	Zerfass	Julius	Zerfass [Pseud.: Walter Hornung]
Kamil	Zern an		
Guido	Zernatto		
Klara	Zetkin		
Julius	Zeyer		
Arthur	Zickler		
Haller von	Ziegesar		
August	Ziegler		
Bernhard	Ziegler		
Alfred	Ziehm		
Fritz	Zielesch		
Luise	Zietz		
Heinz	Zikel		
Heinrich	Zille		
Gustav Adolf	Zimmer		
Albert	Zimmermann		
Paul	Zimmermann		
Werner	Zimmermann		
Hedda	Zinner		
Milly	Zirker		
Otto	Zirker		
Anton	Zischka		
Vladimir	Zmeškal		
Friedrich	Zoepfl		
Otto	Zoff		
Johann Baptist	Zollner		
Ignaz	Zollschan		
Kurt	Zube		
Viktor	Zuckerkandl		
Berta	Szeps-Zuckerkandl		Zuckerkandl, Berta Szeps- s. Szeps-Zuckerkandl.
Karl	Zuckmayer		
Ulrich Wilhelm	Zuericher		
William	Zukerman		
Hans	Zulliger		
Onno	Zum Berg		
Hermynia	Zur Muehlen		
Hans	Zurlinden		
Max	Zwalf		
Hans von	Zwehl		
Arnold	Zweig		
Stephan	Zweig		
Rudolf	Zwetz		
Michael	Zwick		
Karl	Zwing		
Ulrich	Zwingli	Huldreich	Zwingli
Ulrich	Zwingli		
Georgij	Zyperowitsch		
			
