Szittya, Emil	http://d-nb.info/gnd/11950930X
Salgari, Emilio	http://d-nb.info/gnd/119039370
Schmitz, Alexander	http://d-nb.info/gnd/120665557, http://d-nb.info/gnd/121810585, http://d-nb.info/gnd/129178195, http://d-nb.info/gnd/129933988, http://d-nb.info/gnd/130271543, http://d-nb.info/gnd/131856243, http://d-nb.info/gnd/133845265, http://d-nb.info/gnd/173711650, http://d-nb.info/gnd/1013009649, http://d-nb.info/gnd/1037740181, http://d-nb.info/gnd/1038495814
Struve, Gustav	http://d-nb.info/gnd/118799207, http://d-nb.info/gnd/1013838394
Lips, Eva	http://d-nb.info/gnd/117057614
Schreiner, Gerth	http://d-nb.info/gnd/101920334, http://d-nb.info/gnd/18949705X
Kafka, Franz	http://d-nb.info/gnd/118559230
Wisnewski, Franz	http://d-nb.info/gnd/127337261
Rivaud, Albert	http://d-nb.info/gnd/101685084
Inber, Vera	http://d-nb.info/gnd/118708848
Heine, Wolfgang	http://d-nb.info/gnd/116659491, http://d-nb.info/gnd/122511476, http://d-nb.info/gnd/123020972, http://d-nb.info/gnd/124825389, http://d-nb.info/gnd/131842773, http://d-nb.info/gnd/170711641
Vischer, Wilhelm	http://d-nb.info/gnd/100791743, http://d-nb.info/gnd/117436828, http://d-nb.info/gnd/11772548X, http://d-nb.info/gnd/118768670, http://d-nb.info/gnd/119197146, http://d-nb.info/gnd/130033227, http://d-nb.info/gnd/136160514, http://d-nb.info/gnd/189421274
Gerling, Reinhold	http://d-nb.info/gnd/139013156
Kreppel, Jonas	http://d-nb.info/gnd/1044407352
Brauer, Erwin	http://d-nb.info/gnd/116190264
Huxley, Aldous	http://d-nb.info/gnd/118555081
Muenzer, Kurt	http://d-nb.info/gnd/117179183
Paassen, Pierre van	http://d-nb.info/gnd/141944285
Greulich, Hermann	http://d-nb.info/gnd/120865807, http://d-nb.info/gnd/135558786
Klausmann, Robert	http://d-nb.info/gnd/126486638
Pert, Camille	http://d-nb.info/gnd/124441769, http://d-nb.info/gnd/182340902
Weitsch, Eduard	http://d-nb.info/gnd/118766562
Alfes, Georg	http://d-nb.info/gnd/116286423, http://d-nb.info/gnd/129268143, http://d-nb.info/gnd/174118325, http://d-nb.info/gnd/18946142X
Sills-Fuchs, Martha	http://d-nb.info/gnd/135946166
Osswald, Lena	http://d-nb.info/gnd/117155454
Schmid, Karl G.	http://d-nb.info/gnd/118795201
Gasser, Adolf	http://d-nb.info/gnd/118689681
Badigin, Konstantin	http://d-nb.info/gnd/103614222
Brown, Sidney H.	http://d-nb.info/gnd/126236259
Grohe, Melchior	http://d-nb.info/gnd/116861827
Moeschlin, Felix	http://d-nb.info/gnd/118583131, http://d-nb.info/gnd/138396361
Anneler, Hedwig	http://d-nb.info/gnd/1025286871
Nissen, Benedikt Momme	http://d-nb.info/gnd/117022632
Gurlitt, Ludwig	http://d-nb.info/gnd/119178737, http://d-nb.info/gnd/119499703
Frank, Josef Maria	http://d-nb.info/gnd/116703024
Talmage, James Edward	http://d-nb.info/gnd/121529843
Sinclair, Upton	http://d-nb.info/gnd/118797395
Malaparte, Curzio	http://d-nb.info/gnd/118781383
Bonne, Georg	http://d-nb.info/gnd/116241802
Oppenheim, Edward Phillips	http://d-nb.info/gnd/127868690
Heine, Heinrich	http://d-nb.info/gnd/116675047, http://d-nb.info/gnd/118548018, http://d-nb.info/gnd/131480405, http://d-nb.info/gnd/174312911, http://d-nb.info/gnd/1012395472, http://d-nb.info/gnd/1034899333, http://d-nb.info/gnd/1037538560
Kammerer, Paul	http://d-nb.info/gnd/116036028
Durand-Wever, Anne-Marie	http://d-nb.info/gnd/105378003
Kessler, Harry Graf	http://d-nb.info/gnd/118561685
Singer, Kurt	http://d-nb.info/gnd/117402362, http://d-nb.info/gnd/118013408, http://d-nb.info/gnd/120639734, http://d-nb.info/gnd/120661284, http://d-nb.info/gnd/120680645, http://d-nb.info/gnd/129091626, http://d-nb.info/gnd/1027431763
Blank, Matthias	http://d-nb.info/gnd/116199784
Weber, Andreas Paul	http://d-nb.info/gnd/118643223
Urban, Milo	http://d-nb.info/gnd/119319632
Werner, Georg	http://d-nb.info/gnd/115560009, http://d-nb.info/gnd/117298417, http://d-nb.info/gnd/119867907, http://d-nb.info/gnd/119867915, http://d-nb.info/gnd/119867923, http://d-nb.info/gnd/121036944, http://d-nb.info/gnd/12135735X, http://d-nb.info/gnd/128549203, http://d-nb.info/gnd/12854922X, http://d-nb.info/gnd/129372315, http://d-nb.info/gnd/129860212, http://d-nb.info/gnd/132019825, http://d-nb.info/gnd/132083191, http://d-nb.info/gnd/132729296, http://d-nb.info/gnd/133794148, http://d-nb.info/gnd/133794156, http://d-nb.info/gnd/135637082, http://d-nb.info/gnd/135861772, http://d-nb.info/gnd/135882958, http://d-nb.info/gnd/143070622, http://d-nb.info/gnd/170505499, http://d-nb.info/gnd/188354867, http://d-nb.info/gnd/101387918X, http://d-nb.info/gnd/1025026969, http://d-nb.info/gnd/1031552057, http://d-nb.info/gnd/103648341X, http://d-nb.info/gnd/1036486508, http://d-nb.info/gnd/1042575037
Herzog, Wilhelm	http://d-nb.info/gnd/119445980, http://d-nb.info/gnd/1018687432, http://d-nb.info/gnd/1025525604
Terentjew, N.	http://d-nb.info/gnd/130338397, http://d-nb.info/gnd/130338397
Maxwell, William Babington	http://d-nb.info/gnd/106582062
Rump, Johann	http://d-nb.info/gnd/116705574, http://d-nb.info/gnd/1019010924, http://d-nb.info/gnd/1021065382
Klee, Paul	http://d-nb.info/gnd/118562827, http://d-nb.info/gnd/7513003-8
Treplin, Hans	http://d-nb.info/gnd/132172143
Satow, Louis	http://d-nb.info/gnd/116974249
Sieburg, Friedrich	http://d-nb.info/gnd/118765191
Blos, Wilhelm	http://d-nb.info/gnd/11851184X, http://d-nb.info/gnd/133927709
